"Time (s),""Linear Acceleration x (m/s^2)"",""Linear Acceleration y (m/s^2)"",""Linear Acceleration z (m/s^2)"""
2.340780836E0,-1.820001379E-2,5.133533478E-2,7.023352385E-2
2.350800679E0,-6.991014630E-2,2.204608917E-2,2.955847979E-2
2.360821356E0,-8.784139156E-2,-4.390716553E-3,-9.259581566E-4
2.370841981E0,-6.795476377E-2,-3.275489807E-2,1.368516684E-2
2.380878075E0,-6.500151008E-2,-2.535057068E-2,-5.102634430E-3
2.390898752E0,-7.169161737E-2,-1.335525513E-2,-1.646345854E-2
2.400919377E0,-3.819583356E-2,-3.451728821E-2,3.833287954E-2
2.410934586E0,-1.933282241E-2,-3.884506226E-2,3.100490570E-2
2.420955263E0,-1.120456494E-3,-3.075599670E-3,2.850681543E-2
2.430975888E0,-3.748485073E-2,4.385948181E-2,1.653778553E-2
2.440975836E0,-5.694206432E-2,7.821369171E-2,-3.553730249E-2
2.450996513E0,-6.719568372E-2,6.252861023E-2,-7.526534796E-2
2.461017138E0,-6.552124023E-2,4.948329926E-2,-2.933716774E-2
2.471049117E0,-5.456057191E-2,2.021121979E-2,1.385223866E-2
2.481069742E0,-5.315199494E-2,-3.872871399E-3,-1.675516367E-2
2.491090419E0,-9.245658293E-3,-1.347446442E-2,1.623445749E-2
2.501089846E0,1.546192355E-2,-3.702640533E-2,7.942938805E-2
2.511110523E0,9.884610772E-2,-1.307201385E-2,4.768222570E-2
2.521131200E0,1.548747569E-1,1.120567322E-3,-3.475517035E-2
2.531167502E0,1.745304912E-1,1.513195038E-2,-2.342802286E-2
2.541188127E0,1.260056943E-1,5.949306488E-2,3.953039646E-3
2.551208804E0,8.322861791E-2,3.712654114E-2,-1.692742109E-2
2.561198440E0,3.889244422E-2,-3.196620941E-2,-9.346902370E-3
2.571219065E0,-4.423399456E-3,-3.157806396E-2,2.457314730E-2
2.581239742E0,3.308723867E-2,-3.825855255E-2,-3.282487392E-3
2.591273700E0,6.058519334E-2,-4.479694366E-2,-1.339292526E-1
2.601294325E0,9.232325852E-2,-5.113697052E-2,-2.284795046E-1
2.611314950E0,1.143699288E-1,-4.089546204E-2,1.987278461E-2
2.621348909E0,8.452785760E-2,-3.023147583E-4,5.840027332E-2
2.631369534E0,5.052023381E-2,-1.460933685E-2,-3.401511908E-2
2.641390159E0,3.144325688E-2,-2.631473541E-2,2.823346853E-2
2.651389117E0,5.508124083E-2,-3.774547577E-2,1.444573402E-1
2.661409742E0,7.614617050E-2,-1.601600647E-2,1.552482843E-1
2.671430367E0,3.339704871E-2,2.179145813E-2,4.771053791E-2
2.681457138E0,2.226295322E-2,4.485988617E-2,2.455520630E-2
2.691477763E0,4.887881503E-2,2.995491028E-2,9.917646646E-2
2.701498388E0,5.631733313E-2,-1.200675964E-3,5.700200796E-2
2.711516461E0,4.736011475E-2,-3.900909424E-2,-9.396725893E-2
2.721537086E0,7.158695161E-2,-9.972190857E-2,1.900297403E-2
2.731557711E0,6.734612584E-2,-8.868408203E-2,1.289355755E-1
2.741578648E0,4.418641329E-3,-4.014015198E-2,3.009641171E-2
2.751599273E0,-3.636322170E-2,3.341865540E-2,-5.614036322E-2
2.761571461E0,-7.671162486E-2,7.275676727E-2,-5.656123161E-2
2.771593075E0,-1.165149435E-1,6.903839111E-2,1.571559906E-2
2.781613648E0,-1.418421566E-1,5.594348907E-2,-5.268335342E-3
2.791634273E0,-1.246438026E-1,3.365516663E-2,-1.059006453E-1
2.801664846E0,-7.943181694E-2,-1.184844971E-2,-4.995274544E-2
2.811685523E0,-3.509606421E-2,-1.663303375E-2,3.024399281E-2
2.821706096E0,-3.313876688E-3,-2.605915070E-2,5.371510983E-3
2.831747086E0,3.981697559E-2,-6.120681763E-2,9.350776672E-3
2.841767711E0,4.704877734E-2,-7.458686829E-2,4.848861694E-2
2.851788336E0,8.017715067E-2,-5.009651184E-2,1.375144720E-2
2.861794690E0,8.682417870E-2,1.639461517E-2,-2.948468924E-2
2.871815367E0,6.034329906E-2,6.300163269E-2,1.342040300E-2
2.881835940E0,-2.198237553E-2,7.348442078E-2,6.464421749E-2
2.891865263E0,-6.533520669E-2,-3.314018250E-3,6.321758032E-2
2.901885888E0,-9.869808704E-2,-4.814624786E-2,1.093417406E-2
2.911906513E0,-4.205556214E-2,-5.216217041E-2,-2.817797661E-2
2.921927763E0,6.263446063E-3,-2.312183380E-2,-5.923956633E-2
2.931948388E0,6.639032625E-3,-3.986358643E-3,-4.745376110E-2
2.941969013E0,1.915297285E-2,-1.691818237E-3,-2.221798897E-2
2.951980159E0,-1.101106964E-2,9.970664978E-3,-9.316504002E-3
2.962000784E0,-5.262615159E-2,7.325172424E-3,-2.003055811E-2
2.972021409E0,-4.627614468E-2,4.724502563E-3,1.416552067E-2
2.982054638E0,-3.530957922E-2,1.391315460E-2,-9.001076221E-3
2.992075315E0,-2.929531783E-2,4.412555695E-2,-7.194584608E-2
3.002095888E0,-4.658692330E-2,9.740352631E-2,-5.350846052E-2
3.012109534E0,-2.105017006E-2,1.403627396E-1,-1.668870449E-2
3.022130159E0,-1.248916984E-2,5.543613434E-2,-7.513630390E-2
3.032150784E0,-1.120344363E-2,-2.334690094E-2,-9.234571457E-2
3.042162971E0,-3.847102076E-2,-7.014179230E-2,-6.136602163E-2
3.052183596E0,-1.125140116E-2,-2.203941345E-2,2.732741833E-2
3.062204221E0,-2.220842987E-2,4.871082306E-2,1.455670595E-2
3.072232190E0,-6.356128305E-2,3.824138641E-2,3.029620647E-2
3.082252815E0,-5.022921786E-2,-2.143955231E-2,1.099646688E-1
3.092273440E0,-9.140226990E-3,-6.360244751E-2,1.276206970E-1
3.102262554E0,-1.580796391E-2,-1.087379456E-2,3.452974558E-2
3.112283127E0,-3.533864394E-3,7.389736176E-2,-2.688497305E-2
3.122303804E0,-1.973984763E-2,1.053905487E-1,-4.105484486E-2
3.132331304E0,-9.010451287E-2,3.042602539E-2,-7.132738829E-2
3.142351929E0,-1.032132581E-1,-4.558467865E-2,-3.680837154E-2
3.152372554E0,-1.565909237E-1,-1.673984528E-2,-1.135188937E-1
3.162405888E0,-1.196975410E-1,9.395217896E-2,-1.639236808E-1
3.172426513E0,-6.929712743E-2,9.443759918E-2,-2.826762199E-2
3.182447138E0,-6.712588668E-2,2.190017700E-2,4.352563620E-2
3.192455679E0,-7.931032777E-2,-4.002189636E-2,2.922660112E-2
3.202476304E0,-5.359099805E-2,-5.381202698E-2,4.120296240E-2
3.212496929E0,-1.694093645E-2,-2.266883850E-2,-6.258189678E-3
3.222527398E0,1.652271301E-2,2.677440643E-2,-1.096208692E-1
3.232548023E0,6.580267847E-2,4.950714111E-2,-3.222995996E-2
3.242568648E0,3.419933468E-2,8.249282837E-3,1.734972000E-2
3.252560523E0,-6.997656077E-2,-2.061748505E-2,-8.075785637E-2
3.262581148E0,-7.840280235E-2,-6.546306610E-2,-1.691520214E-2
3.272601773E0,-1.606325991E-2,-1.024560928E-1,5.576127768E-2
3.282676304E0,-9.091799147E-3,-6.345653534E-2,-1.171641350E-1
3.292696929E0,1.666836813E-2,1.495838165E-2,-9.835702181E-2
3.302717554E0,8.987260051E-3,1.273307800E-1,-3.815943003E-2
3.312702606E0,-3.674796969E-2,1.647863388E-1,-1.210681796E-1
3.322723179E0,-3.685734421E-2,8.153343201E-2,-4.982918501E-2
3.332743752E0,-4.376901686E-2,-2.152252197E-2,7.427388430E-2
3.342733492E0,-4.589347541E-2,-8.989524841E-2,1.021561623E-1
3.352754065E0,-1.740431786E-2,-1.147279739E-1,1.415673494E-1
3.362778440E0,4.579501972E-2,-1.249542236E-1,2.000199258E-1
3.372790679E0,6.105670333E-2,-1.020116806E-1,2.626474202E-1
3.382811148E0,3.154158592E-2,-6.059551239E-2,1.879191101E-1
3.392831721E0,-7.569534332E-2,8.398056030E-3,-7.831454277E-4
3.402852346E0,-1.793155968E-1,6.683063507E-2,-8.741521835E-2
3.412902346E0,-2.746989727E-1,1.218948364E-1,-1.550024748E-2
3.422922919E0,-3.617009223E-1,1.100206375E-1,-7.343512774E-2
3.432943492E0,-4.406273365E-1,4.886722565E-2,-1.169023514E-1
3.442942190E0,-4.224586189E-1,5.197525024E-4,-4.412132502E-2
3.452962763E0,-3.233618140E-1,1.658439636E-2,4.444599152E-2
3.462955731E0,-2.174103260E-1,1.453971863E-1,-4.266047478E-2
3.472980888E0,-7.816089317E-3,1.448736191E-1,-7.519412041E-2
3.483001409E0,1.535311043E-1,3.839969635E-2,8.304184675E-2
3.493021981E0,2.894303203E-1,-1.674451828E-1,1.809848249E-1
3.503036148E0,4.218250215E-1,-3.203229904E-1,2.009965777E-1
3.513056721E0,5.345127583E-1,-3.599309921E-1,2.759235501E-1
3.523077294E0,5.740527511E-1,-3.093442917E-1,3.861634731E-1
3.533112815E0,5.937839746E-1,-2.265634537E-1,5.125809908E-1
3.543133388E0,5.632354617E-1,-1.309776306E-1,5.440146327E-1
3.553153961E0,5.183391571E-1,-1.702308655E-3,6.150332093E-2
3.563165784E0,5.600630641E-1,6.179332733E-2,-3.501594067E-1
3.573186356E0,5.996242762E-1,1.054277420E-1,-4.081815481E-2
3.583206929E0,4.861656427E-1,1.695814133E-1,-5.089974403E-2
3.593249221E0,3.537365496E-1,1.785011292E-1,-4.682781100E-1
3.603269794E0,2.405522317E-1,1.895418167E-1,-4.562509060E-1
3.613290315E0,1.119658947E-1,1.390676498E-1,-2.294505239E-1
3.623293909E0,8.802239597E-2,-9.503364563E-3,-1.837769747E-1
3.633314481E0,2.780289650E-1,-1.649713516E-1,-1.167002320E-1
3.643335054E0,5.685004592E-1,-2.801141739E-1,1.272571385E-1
3.653369273E0,9.131868482E-1,-3.627185822E-1,2.877011597E-1
3.663389846E0,1.211250186E0,-4.486265182E-1,3.054022193E-1
3.673410419E0,1.464529991E0,-4.882860184E-1,3.839851022E-1
3.683425523E0,1.695599437E0,-5.554103851E-1,5.255064368E-1
3.693446044E0,1.858649492E0,-6.236896515E-1,4.833100438E-1
3.703466617E0,2.021802425E0,-6.575565338E-1,2.684859037E-1
3.713495159E0,2.395438671E0,-5.525512695E-1,9.676793218E-2
3.723515731E0,2.960218430E0,-3.685846329E-1,1.404398382E-1
3.733536304E0,3.592620373E0,-1.581897736E-1,2.037444413E-1
3.743525627E0,4.238476276E0,1.266250610E-1,1.255218387E-1
3.753546200E0,4.863513470E0,3.641738892E-1,1.492887139E-1
3.763566773E0,5.266551971E0,6.051607132E-1,5.759003162E-1
3.773611148E0,5.135941029E0,9.098587036E-1,9.374507666E-1
3.783631721E0,4.433076382E0,1.348014832E0,9.547889233E-1
3.793652294E0,3.642038107E0,1.822091103E0,6.812733412E-1
3.803654690E0,2.948077440E0,2.258200645E0,1.622625589E-1
