"Time (s),""Linear Acceleration x (m/s^2)"",""Linear Acceleration y (m/s^2)"",""Linear Acceleration z (m/s^2)"""
1.841196400E0,1.773312688E-1,8.978271484E-2,-9.308993816E-2
1.851195166E0,1.378692389E-1,4.970073700E-2,-3.533458710E-2
1.861193866E0,6.182253361E-2,3.357505798E-2,-4.260802269E-2
1.871192632E0,-5.874443054E-2,-2.332496643E-2,-1.663827896E-2
1.881191398E0,-1.505115330E-1,-1.382827759E-3,2.592611313E-2
1.891190098E0,-1.769198477E-1,2.029991150E-2,3.905308247E-2
1.901188831E0,-1.122353375E-1,4.171657562E-2,1.086712480E-1
1.911187564E0,-4.889559746E-2,7.781028748E-3,1.188123822E-1
1.921186297E0,-4.112976789E-2,-4.697799683E-3,1.300006509E-1
1.931185063E0,-2.150511742E-2,4.278182983E-3,1.572595239E-1
1.941183796E0,-3.110688925E-2,3.230381012E-2,1.257852316E-1
1.951182529E0,-6.471532583E-2,5.791854858E-2,-4.112720490E-3
1.961181262E0,-8.084845543E-2,8.130455017E-2,-8.666431904E-2
1.971179928E0,-1.032173634E-2,4.265499115E-2,-8.794319630E-2
1.981178661E0,5.441910028E-2,1.623535156E-2,-9.211277962E-2
1.991177394E0,1.175745130E-1,-3.995895386E-4,-4.750657082E-2
2.001176094E0,1.284064054E-1,-2.646827698E-2,-1.691293716E-2
2.011174860E0,1.112475991E-1,2.365112305E-4,-1.256358624E-2
2.021173626E0,6.909978390E-2,-6.517410278E-3,1.083266735E-2
2.031172326E0,-9.008347988E-3,3.934955597E-2,1.230156422E-2
2.041171092E0,-5.233961344E-2,4.441261292E-2,-3.208434582E-2
2.051169858E0,-6.304776669E-2,7.815265656E-2,-5.458390713E-2
2.061168624E0,-1.744753122E-2,5.679225922E-2,-7.198858261E-2
2.071167390E0,-9.878039360E-3,4.030609131E-2,-8.621585369E-2
2.081166156E0,1.943600178E-2,-2.644062042E-2,-3.044378757E-2
2.091164922E0,-2.157151699E-3,-2.368068695E-2,-3.272771835E-3
2.101163688E0,-4.064506292E-2,-1.382064819E-2,3.934025764E-3
2.111162388E0,-2.348965406E-2,-1.358318329E-2,5.165112019E-2
2.121161154E0,-3.732454777E-2,-1.110363007E-2,7.911157608E-2
2.131159920E0,-3.623706102E-2,7.957458496E-3,4.292678833E-2
2.141158620E0,-5.896490812E-2,6.050682068E-2,4.248714447E-2
2.151157386E0,-4.043912888E-2,4.359149933E-2,5.628883839E-2
2.161156152E0,-5.056679249E-3,3.857231140E-2,1.216900349E-2
2.171154918E0,5.793511868E-3,2.167415619E-2,-1.105984449E-1
2.181153684E0,1.102834940E-2,6.013774872E-2,-1.065838337E-1
2.191152450E0,5.911898613E-2,4.608726501E-2,-1.109516621E-1
2.201151216E0,8.465754986E-2,5.845069885E-3,-9.049463272E-2
2.211149982E0,9.470820427E-2,-1.749897003E-2,-5.256867409E-2
2.221148715E0,1.157823801E-1,-1.923847198E-2,-2.193248272E-2
2.231147481E0,8.539110422E-2,-3.530502319E-2,2.759838104E-2
2.241146381E0,1.393628120E-2,-1.079940796E-2,4.716348648E-2
2.251145281E0,-5.415254831E-2,-3.209114075E-3,4.412841797E-2
2.261144214E0,-1.181538105E-1,5.447864532E-2,-2.427446842E-2
2.271143214E0,-1.317136586E-1,4.262924194E-2,-3.763556480E-3
2.281142280E0,-6.677961349E-2,5.217647552E-2,-9.779691696E-3
2.291141313E0,4.390323162E-2,3.776836395E-2,-7.813453674E-2
2.301140346E0,1.795979142E-1,4.273223877E-2,-1.452046633E-1
2.311139379E0,1.612720490E-1,4.981994629E-3,-1.483689547E-1
2.321138479E0,9.289330244E-2,-1.813793182E-2,-9.043657780E-2
2.331137579E0,-6.588518620E-3,-3.165054321E-2,-4.907763004E-2
2.341136679E0,-5.441665649E-2,-9.395599365E-3,-1.097559929E-3
2.351135779E0,-8.645725250E-2,3.420162201E-2,-1.644718647E-2
2.361134812E0,-6.917685270E-2,7.049369812E-2,-7.994699478E-2
2.371133912E0,-2.940976620E-2,8.046817780E-2,-8.802711964E-2
2.381133012E0,1.739865541E-2,2.818393707E-2,-8.644437790E-2
2.391132045E0,4.690909386E-2,3.581619263E-2,-3.441631794E-2
2.401131145E0,6.851375103E-2,5.296516418E-2,3.109586239E-2
2.411130245E0,6.285452843E-2,6.280136108E-2,4.968059063E-2
2.421129345E0,3.031384945E-2,1.204023361E-1,5.488014221E-2
2.431128445E0,1.973545551E-2,7.729721069E-2,-8.458292484E-2
2.441127545E0,-2.690345049E-2,8.296966553E-4,-1.199002266E-1
2.451126645E0,-6.788378954E-2,-3.723907471E-2,6.605744362E-3
2.461125745E0,-8.847340941E-2,-8.268165588E-2,1.055414677E-1
2.471124778E0,-1.176028252E-1,-5.897903442E-2,1.692404747E-1
2.481123878E0,-1.764484942E-1,5.136489868E-3,2.430018783E-1
2.491122978E0,-1.830273867E-1,9.992313385E-2,1.584039927E-1
2.501122011E0,-2.121274471E-1,1.131734848E-1,1.545906067E-3
2.511121111E0,-1.222658157E-1,5.470943451E-2,-1.241230965E-2
2.521120177E0,-5.417975783E-2,1.186370850E-3,7.276356220E-2
2.531119210E0,-1.385754347E-2,-3.793525696E-2,9.536898136E-2
2.541118176E0,-5.418947339E-2,-1.710414886E-2,3.197813034E-2
2.551117076E0,-6.179094315E-2,1.352214813E-2,4.635429382E-2
2.561116009E0,-6.269010901E-2,3.500938416E-3,1.281350851E-1
2.571114875E0,-3.298094869E-2,-9.041786194E-3,6.976997852E-2
2.581113608E0,-6.624051929E-2,-7.127761841E-3,-2.178168297E-2
2.591112408E0,-3.490337729E-2,-1.456642151E-2,-4.429292679E-2
2.601111208E0,-1.893639565E-3,-9.828567505E-3,-6.307351589E-2
2.611109941E0,4.217392206E-2,4.300403595E-2,-8.040702343E-2
2.621108674E0,1.089870930E-1,6.252384186E-2,-1.109656096E-1
2.631107407E0,1.500978470E-1,2.722930908E-2,-6.822776794E-2
2.641106073E0,1.457770467E-1,-5.515098572E-3,-3.002178669E-2
